time,actual,predicted_rf
2020-04-07 06:10:00,32.34,32.40747430517735
2020-04-07 06:15:00,32.3,32.31987963744605
2020-04-07 06:20:00,32.25,32.2839303817362
2020-04-07 06:25:00,32.23,32.25406696784417
2020-04-07 06:30:00,32.18,32.247644689705105
2020-04-07 06:35:00,32.14,32.18677246716448
2020-04-07 06:40:00,32.21,32.12500647700573
2020-04-07 06:45:00,32.27,32.19375895044565
2020-04-07 06:50:00,32.3,32.25593750672118
2020-04-07 06:55:00,32.31,32.285042175393386
2020-04-07 07:00:00,32.24,32.29438541956205
2020-04-07 07:05:00,32.25,32.25646958523514
2020-04-07 07:10:00,32.2,32.2564179064597
2020-04-07 07:15:00,32.22,32.191605534326285
2020-04-07 07:20:00,32.17,32.1987602705489
2020-04-07 07:25:00,32.17,32.184246535993594
2020-04-07 07:30:00,32.17,32.19014122442932
2020-04-07 07:35:00,32.2,32.19014122442932
2020-04-07 07:40:00,32.25,32.19711952850713
2020-04-07 07:45:00,32.21,32.26441861917238
2020-04-07 07:50:00,32.17,32.20140007443002
2020-04-07 07:55:00,32.11,32.18987689618497
2020-04-07 08:00:00,32.04,32.086537881719615
2020-04-07 08:05:00,32.12,32.067505370957406
2020-04-07 08:10:00,32.09,32.10189984630935
2020-04-07 08:15:00,32.11,32.081814622486384
2020-04-07 08:20:00,32.1,32.08584697883871
2020-04-07 08:25:00,32.1,32.086537881719615
2020-04-07 08:30:00,32.09,32.086537881719615
2020-04-07 08:35:00,32.06,32.082032887277144
2020-04-07 08:40:00,32.05,32.07841739804556
2020-04-07 08:45:00,31.97,32.07532719748527
2020-04-07 08:50:00,31.98,31.956105900504202
2020-04-07 08:55:00,31.95,31.961980833642173
2020-04-07 09:00:00,31.93,31.9474947320929
2020-04-07 09:05:00,31.88,31.94647988686585
2020-04-07 09:10:00,31.84,31.84421724150856
2020-04-07 09:15:00,31.88,31.83241597061003
2020-04-07 09:20:00,31.86,31.843848232334246
2020-04-07 09:25:00,31.89,31.83241597061003
2020-04-07 09:30:00,31.89,31.864422544669047
2020-04-07 09:35:00,31.89,31.865178367568852
2020-04-07 09:40:00,31.89,31.865178367568852
2020-04-07 09:45:00,31.93,31.865178367568852
2020-04-07 09:50:00,31.94,31.948735241610052
2020-04-07 09:55:00,31.99,31.948735241610052
2020-04-07 10:00:00,31.98,31.97885921004055
2020-04-07 10:05:00,31.91,31.96500485238137
2020-04-07 10:10:00,31.94,31.938291414777897
2020-04-07 10:15:00,31.98,31.947800828988424
2020-04-07 10:20:00,31.96,31.965000401458997
2020-04-07 10:25:00,31.95,31.952100093955355
2020-04-07 10:30:00,31.96,31.9474947320929
2020-04-07 10:35:00,31.96,31.953421036077927
2020-04-07 10:40:00,31.93,31.953421036077927
2020-04-07 10:45:00,31.93,31.94647988686585
2020-04-07 10:50:00,31.91,31.947243201869778
2020-04-07 10:55:00,31.92,31.937733787659248
2020-04-07 11:00:00,31.92,31.942454941150853
2020-04-07 11:05:00,31.96,31.943344142380123
2020-04-07 11:10:00,31.96,31.954828351038124
2020-04-07 11:15:00,31.98,31.954828351038124
2020-04-07 11:20:00,31.98,31.965271289549655
2020-04-07 11:25:00,31.98,31.965271289549655
2020-04-07 11:30:00,31.99,31.965271289549655
2020-04-07 11:35:00,32.0,31.973935828918833
2020-04-07 11:40:00,32.01,31.978831609396003
2020-04-07 11:45:00,32.02,31.980977317345594
2020-04-07 11:50:00,32.02,32.006311605158
2020-04-07 11:55:00,32.0,32.006311605158
2020-04-07 12:00:00,32.05,31.976743588553454
2020-04-07 12:05:00,32.03,32.077230120808174
2020-04-07 12:10:00,32.01,32.020298167888704
2020-04-07 12:15:00,32.02,31.980459203614668
2020-04-07 12:20:00,32.03,32.006311605158
2020-04-07 12:25:00,32.04,32.020298167888704
2020-04-07 12:30:00,32.05,32.06790352651806
2020-04-07 12:35:00,32.02,32.075762594310675
2020-04-07 12:40:00,32.0,32.006311605158
2020-04-07 12:45:00,32.09,31.97726170228438
2020-04-07 12:50:00,32.11,32.081777381221634
2020-04-07 12:55:00,32.11,32.08584697883871
2020-04-07 13:00:00,32.12,32.086537881719615
2020-04-07 13:05:00,32.11,32.10173667282286
2020-04-07 13:10:00,32.12,32.08863788593547
2020-04-07 13:15:00,32.13,32.10173667282286
2020-04-07 13:20:00,32.15,32.1062578505297
2020-04-07 13:25:00,32.15,32.191155697420186
2020-04-07 13:30:00,32.18,32.18994741253646
2020-04-07 13:35:00,32.14,32.196433690464595
2020-04-07 13:40:00,32.14,32.12781313256582
2020-04-07 13:45:00,32.18,32.12976918364262
2020-04-07 13:50:00,32.16,32.19764197534832
2020-04-07 13:55:00,32.18,32.19145214056868
