start_time,end_time,duration_hours
2017-09-20 08:30:00,2017-09-20 15:50:00,7.416666666666667
2017-09-20 16:00:00,2017-09-21 00:05:00,8.166666666666666
2017-09-21 01:45:00,2017-09-21 02:00:00,0.3333333333333333
2017-09-21 02:40:00,2017-09-23 17:50:00,63.25
2017-09-23 18:00:00,2017-09-26 09:55:00,64.0
2017-09-26 10:05:00,2017-09-28 17:20:00,55.333333333333336
2017-09-28 17:35:00,2017-09-28 18:05:00,0.5833333333333334
2017-09-28 18:15:00,2017-09-28 18:25:00,0.25
2017-09-28 18:50:00,2017-09-28 18:55:00,0.16666666666666666
2017-09-28 20:15:00,2017-09-28 20:15:00,0.08333333333333333
2017-09-28 23:30:00,2017-09-28 23:55:00,0.5
2017-09-29 01:40:00,2017-09-29 01:40:00,0.08333333333333333
2017-09-29 03:15:00,2017-09-29 03:15:00,0.08333333333333333
2017-09-29 03:50:00,2017-09-29 03:55:00,0.16666666666666666
2017-09-29 04:55:00,2017-09-29 14:55:00,10.083333333333334
2017-09-29 15:05:00,2017-09-29 20:40:00,5.666666666666667
2017-09-30 04:05:00,2017-09-30 04:05:00,0.08333333333333333
2017-09-30 05:25:00,2017-09-30 05:55:00,0.5833333333333334
2017-09-30 09:55:00,2017-09-30 13:45:00,3.9166666666666665
2017-09-30 13:55:00,2017-09-30 13:55:00,0.08333333333333333
2017-09-30 14:05:00,2017-10-01 22:50:00,32.833333333333336
2017-10-01 23:00:00,2017-10-01 23:00:00,0.08333333333333333
2017-10-01 23:25:00,2017-10-01 23:25:00,0.08333333333333333
2017-10-02 01:15:00,2017-10-02 01:40:00,0.5
2017-10-02 01:55:00,2017-10-02 02:20:00,0.5
2017-10-02 07:30:00,2017-10-02 07:55:00,0.5
2017-10-02 08:30:00,2017-10-02 08:30:00,0.08333333333333333
2017-10-02 08:40:00,2017-10-02 08:45:00,0.16666666666666666
2017-10-02 08:55:00,2017-10-02 08:55:00,0.08333333333333333
2017-10-02 09:10:00,2017-10-02 09:10:00,0.08333333333333333
2017-10-02 11:25:00,2017-10-03 06:20:00,19.0
2017-10-03 06:30:00,2017-10-05 17:30:00,59.083333333333336
2017-10-05 17:40:00,2017-10-05 19:00:00,1.4166666666666667
2017-10-05 19:10:00,2017-10-06 15:25:00,20.333333333333332
2017-10-06 15:35:00,2017-10-07 01:20:00,9.833333333333334
2017-10-07 02:35:00,2017-10-07 03:15:00,0.75
2017-10-07 03:40:00,2017-10-07 11:05:00,7.5
2017-10-07 11:20:00,2017-10-07 11:40:00,0.4166666666666667
2017-10-07 11:50:00,2017-10-07 12:00:00,0.25
2017-10-07 12:10:00,2017-10-07 12:20:00,0.25
2017-10-07 12:30:00,2017-10-07 12:40:00,0.25
2017-10-07 13:00:00,2017-10-07 13:05:00,0.16666666666666666
2017-10-07 13:15:00,2017-10-07 13:15:00,0.08333333333333333
2017-10-07 13:25:00,2017-10-07 13:25:00,0.08333333333333333
2017-10-07 13:35:00,2017-10-07 13:45:00,0.25
2017-10-07 13:55:00,2017-10-07 14:20:00,0.5
2017-10-07 14:30:00,2017-10-09 00:10:00,33.75
2017-10-09 00:20:00,2017-10-09 00:20:00,0.08333333333333333
2017-10-09 00:35:00,2017-10-09 00:50:00,0.3333333333333333
2017-10-09 01:00:00,2017-10-09 01:00:00,0.08333333333333333
2017-10-09 01:10:00,2017-10-09 01:20:00,0.25
2017-10-09 01:35:00,2017-10-09 02:05:00,0.5833333333333334
2017-10-09 02:15:00,2017-10-09 02:25:00,0.25
2017-10-09 02:35:00,2017-10-09 02:55:00,0.4166666666666667
2017-10-09 03:05:00,2017-10-09 03:05:00,0.08333333333333333
2017-10-09 03:15:00,2017-10-09 03:40:00,0.5
2017-10-09 03:50:00,2017-10-09 05:05:00,1.3333333333333333
2017-10-09 05:15:00,2017-10-09 07:30:00,2.3333333333333335
2017-10-09 07:45:00,2017-10-09 07:45:00,0.08333333333333333
2017-10-09 07:55:00,2017-10-11 21:40:00,61.833333333333336
2017-10-12 00:20:00,2017-10-12 17:20:00,17.083333333333332
2017-10-12 17:40:00,2017-10-12 17:40:00,0.08333333333333333
2017-10-12 17:55:00,2017-10-12 17:55:00,0.08333333333333333
2017-10-12 18:20:00,2017-10-12 18:25:00,0.16666666666666666
2017-10-12 18:40:00,2017-10-12 18:40:00,0.08333333333333333
2017-10-12 22:40:00,2017-10-13 11:30:00,12.916666666666666
2017-10-13 11:40:00,2017-10-13 16:45:00,5.166666666666667
2017-10-13 16:55:00,2017-10-13 17:50:00,1.0
2017-10-13 18:15:00,2017-10-13 18:25:00,0.25
2017-10-13 18:40:00,2017-10-13 18:55:00,0.3333333333333333
2017-10-13 19:05:00,2017-10-13 19:55:00,0.9166666666666666
2017-10-13 20:15:00,2017-10-13 20:15:00,0.08333333333333333
2017-10-13 20:45:00,2017-10-13 20:45:00,0.08333333333333333
2017-10-13 20:55:00,2017-10-13 21:00:00,0.16666666666666666
2017-10-13 21:30:00,2017-10-13 21:30:00,0.08333333333333333
2017-10-13 22:00:00,2017-10-13 23:35:00,1.6666666666666667
2017-10-14 00:35:00,2017-10-14 00:40:00,0.16666666666666666
2017-10-14 01:05:00,2017-10-14 01:50:00,0.8333333333333334
2017-10-14 02:00:00,2017-10-14 02:00:00,0.08333333333333333
2017-10-14 02:10:00,2017-10-14 03:20:00,1.25
2017-10-14 04:40:00,2017-10-14 14:10:00,9.583333333333334
2017-10-14 14:20:00,2017-10-14 15:55:00,1.6666666666666667
2017-10-14 16:05:00,2017-10-15 08:40:00,16.666666666666668
2017-10-15 08:50:00,2017-10-15 09:25:00,0.6666666666666666
2017-10-15 09:35:00,2017-10-15 10:25:00,0.9166666666666666
2017-10-15 10:35:00,2017-10-15 11:05:00,0.5833333333333334
2017-10-15 11:15:00,2017-10-15 11:20:00,0.16666666666666666
2017-10-15 11:35:00,2017-10-15 11:40:00,0.16666666666666666
2017-10-15 11:50:00,2017-10-15 12:20:00,0.5833333333333334
2017-10-15 12:30:00,2017-10-15 14:00:00,1.5833333333333333
2017-10-15 14:10:00,2017-10-15 20:15:00,6.166666666666667
2017-10-15 20:25:00,2017-10-16 00:10:00,3.8333333333333335
2017-10-16 00:20:00,2017-10-16 14:45:00,14.5
2017-10-16 14:55:00,2017-10-17 07:10:00,16.333333333333332
2017-10-17 07:20:00,2017-10-17 15:45:00,8.5
2017-10-17 16:30:00,2017-10-17 17:05:00,0.6666666666666666
2017-12-01 05:30:00,2017-12-01 05:30:00,0.08333333333333333
2017-12-01 09:00:00,2017-12-01 09:10:00,0.25
2017-12-01 09:20:00,2017-12-01 09:30:00,0.25
2017-12-01 09:55:00,2017-12-01 10:05:00,0.25
2017-12-01 10:15:00,2017-12-01 10:25:00,0.25
2017-12-01 10:35:00,2017-12-01 10:40:00,0.16666666666666666
2017-12-01 10:55:00,2017-12-01 11:05:00,0.25
2017-12-01 11:15:00,2017-12-01 11:20:00,0.16666666666666666
2017-12-01 11:35:00,2017-12-01 12:25:00,0.9166666666666666
2017-12-01 12:35:00,2017-12-05 06:05:00,89.58333333333333
2017-12-05 23:20:00,2017-12-07 04:10:00,28.916666666666668
2018-08-30 15:20:00,2018-08-30 19:20:00,4.083333333333333
2018-09-01 00:15:00,2018-09-01 22:00:00,21.833333333333332
2018-09-16 23:20:00,2018-09-16 23:20:00,0.08333333333333333
2018-09-16 23:35:00,2018-09-16 23:35:00,0.08333333333333333
2018-09-17 02:45:00,2018-09-17 02:45:00,0.08333333333333333
2018-09-27 05:40:00,2018-09-27 09:35:00,4.0
2018-09-27 09:45:00,2018-09-27 09:50:00,0.16666666666666666
2018-09-27 10:00:00,2018-09-27 10:10:00,0.25
2018-09-27 10:20:00,2018-09-27 10:30:00,0.25
2018-09-27 10:40:00,2018-09-27 11:35:00,1.0
2018-09-27 12:00:00,2018-09-27 12:15:00,0.3333333333333333
2018-09-27 12:45:00,2018-09-27 12:45:00,0.08333333333333333
2018-09-27 12:55:00,2018-09-27 12:55:00,0.08333333333333333
2018-09-27 13:05:00,2018-09-27 13:10:00,0.16666666666666666
2018-09-27 13:20:00,2018-09-27 13:40:00,0.4166666666666667
2018-09-28 02:45:00,2018-09-28 02:45:00,0.08333333333333333
2018-09-28 04:00:00,2018-09-28 07:55:00,4.0
2018-09-28 09:55:00,2018-09-28 09:55:00,0.08333333333333333
2018-09-29 03:20:00,2018-09-29 07:15:00,4.0
2018-09-29 07:25:00,2018-09-29 07:55:00,0.5833333333333334
2018-09-29 08:05:00,2018-09-29 08:15:00,0.25
2018-09-29 08:25:00,2018-09-29 09:15:00,0.9166666666666666
2018-09-29 09:25:00,2018-09-29 09:45:00,0.4166666666666667
2018-09-29 09:55:00,2018-09-29 11:15:00,1.4166666666666667
2018-09-30 03:40:00,2018-09-30 13:05:00,9.5
2018-10-01 01:35:00,2018-10-01 01:55:00,0.4166666666666667
2018-10-01 02:35:00,2018-10-01 02:40:00,0.16666666666666666
2018-10-01 02:55:00,2018-10-01 03:00:00,0.16666666666666666
2018-10-01 03:15:00,2018-10-01 13:05:00,9.916666666666666
2018-10-02 01:20:00,2018-10-02 01:20:00,0.08333333333333333
2018-10-02 02:30:00,2018-10-02 02:30:00,0.08333333333333333
2018-10-02 03:30:00,2018-10-02 08:45:00,5.333333333333333
2018-10-02 08:55:00,2018-10-02 11:50:00,3.0
2018-10-02 12:00:00,2018-10-02 12:35:00,0.6666666666666666
2018-10-03 04:10:00,2018-10-03 05:50:00,1.75
2018-10-03 06:00:00,2018-10-03 06:45:00,0.8333333333333334
2018-10-03 06:55:00,2018-10-03 07:55:00,1.0833333333333333
2018-10-03 08:05:00,2018-10-03 08:15:00,0.25
2018-10-03 08:30:00,2018-10-03 08:35:00,0.16666666666666666
2018-10-03 11:15:00,2018-10-03 11:15:00,0.08333333333333333
2018-10-04 02:05:00,2018-10-04 09:55:00,7.916666666666667
2018-10-04 10:05:00,2018-10-04 10:35:00,0.5833333333333334
2018-10-04 10:45:00,2018-10-04 12:05:00,1.4166666666666667
2018-10-04 12:15:00,2018-10-04 13:15:00,1.0833333333333333
2018-10-05 01:20:00,2018-10-05 14:00:00,12.75
2018-10-06 01:50:00,2018-10-06 02:05:00,0.3333333333333333
2018-10-06 03:10:00,2018-10-06 03:25:00,0.3333333333333333
2018-10-06 03:35:00,2018-10-06 13:20:00,9.833333333333334
2018-10-07 02:30:00,2018-10-07 02:40:00,0.25
2018-10-07 03:00:00,2018-10-07 03:00:00,0.08333333333333333
2018-10-07 03:15:00,2018-10-07 13:25:00,10.25
2018-10-07 13:35:00,2018-10-07 13:40:00,0.16666666666666666
2018-10-08 03:05:00,2018-10-08 12:15:00,9.25
2018-10-08 12:25:00,2018-10-08 13:20:00,1.0
2018-10-08 13:35:00,2018-10-08 13:35:00,0.08333333333333333
2018-10-09 03:10:00,2018-10-09 03:15:00,0.16666666666666666
2018-10-09 03:30:00,2018-10-09 06:55:00,3.5
2018-10-09 07:05:00,2018-10-09 12:20:00,5.333333333333333
2018-10-09 12:30:00,2018-10-09 12:45:00,0.3333333333333333
2018-10-09 12:55:00,2018-10-09 13:25:00,0.5833333333333334
2018-10-10 03:50:00,2018-10-10 13:40:00,9.916666666666666
2018-10-11 03:10:00,2018-10-11 15:15:00,12.166666666666666
2018-10-11 23:35:00,2018-10-11 23:45:00,0.25
2018-10-12 00:00:00,2018-10-12 00:00:00,0.08333333333333333
2018-10-12 00:50:00,2018-10-12 01:55:00,1.1666666666666667
2018-10-12 02:20:00,2018-10-12 11:45:00,9.5
2018-10-12 12:00:00,2018-10-13 09:05:00,21.166666666666668
2018-10-13 09:15:00,2018-10-13 11:35:00,2.4166666666666665
2018-10-13 11:45:00,2018-10-14 15:45:00,28.083333333333332
2018-10-14 15:55:00,2018-10-14 16:20:00,0.5
2018-10-14 22:10:00,2018-10-15 05:20:00,7.25
2018-10-15 05:30:00,2018-10-15 15:35:00,10.166666666666666
2018-10-16 00:05:00,2018-10-16 00:10:00,0.16666666666666666
2018-10-16 00:25:00,2018-10-16 08:10:00,7.833333333333333
2018-10-16 08:25:00,2018-10-16 08:25:00,0.08333333333333333
2019-03-10 23:25:00,2019-03-10 23:30:00,0.16666666666666666
2019-03-11 01:05:00,2019-03-14 21:00:00,92.0
2019-03-14 21:10:00,2019-03-16 22:05:00,49.0
2019-05-10 06:15:00,2019-05-10 07:55:00,1.75
2019-05-10 08:30:00,2019-05-10 08:40:00,0.25
2019-05-11 04:30:00,2019-05-11 12:05:00,7.666666666666667
2019-05-11 12:20:00,2019-05-11 12:25:00,0.16666666666666666
2019-05-11 12:40:00,2019-05-11 12:45:00,0.16666666666666666
2019-05-11 13:00:00,2019-05-11 13:30:00,0.5833333333333334
2019-05-12 03:10:00,2019-05-12 10:00:00,6.916666666666667
2019-05-13 00:30:00,2019-05-13 02:40:00,2.25
2019-06-19 03:15:00,2019-06-19 03:25:00,0.25
2019-06-19 03:40:00,2019-06-20 22:35:00,43.0
2019-09-27 16:50:00,2019-09-28 19:10:00,26.416666666666668
2019-09-28 19:25:00,2019-09-28 19:35:00,0.25
2019-09-28 19:45:00,2019-09-28 20:15:00,0.5833333333333334
2019-09-28 20:25:00,2019-09-28 20:30:00,0.16666666666666666
2019-09-28 20:40:00,2019-09-28 22:00:00,1.4166666666666667
2019-09-28 22:10:00,2019-09-28 23:35:00,1.5
2019-09-28 23:45:00,2019-09-29 00:20:00,0.6666666666666666
2019-09-29 00:30:00,2019-09-29 02:50:00,2.4166666666666665
2019-09-29 03:00:00,2019-09-29 03:30:00,0.5833333333333334
2019-09-29 03:40:00,2019-09-29 04:05:00,0.5
2019-09-29 04:20:00,2019-09-29 07:35:00,3.3333333333333335
2019-09-29 07:45:00,2019-09-29 08:05:00,0.4166666666666667
2019-09-29 08:15:00,2019-09-29 10:15:00,2.0833333333333335
2019-09-29 10:25:00,2019-09-29 10:30:00,0.16666666666666666
2019-09-29 10:45:00,2019-09-29 11:10:00,0.5
2019-09-29 11:20:00,2019-09-29 11:50:00,0.5833333333333334
2019-09-29 12:00:00,2019-09-29 12:10:00,0.25
2019-09-29 12:20:00,2019-09-30 14:40:00,26.416666666666668
2019-09-30 14:50:00,2019-09-30 15:30:00,0.75
2019-09-30 15:40:00,2019-10-01 15:40:00,24.083333333333332
2019-10-01 15:50:00,2019-10-03 12:55:00,45.166666666666664
2019-10-03 13:10:00,2019-10-03 23:40:00,10.583333333333334
2019-10-03 23:50:00,2019-10-03 23:55:00,0.16666666666666666
2019-10-04 00:15:00,2019-10-04 00:40:00,0.5
2019-10-04 00:50:00,2019-10-04 01:15:00,0.5
2019-10-04 01:25:00,2019-10-04 01:40:00,0.3333333333333333
2019-10-04 01:55:00,2019-10-04 01:55:00,0.08333333333333333
2019-10-04 02:05:00,2019-10-04 02:40:00,0.6666666666666666
2019-10-04 02:50:00,2019-10-04 02:50:00,0.08333333333333333
2019-10-04 03:00:00,2019-10-04 12:15:00,9.333333333333334
2019-10-04 12:25:00,2019-10-04 12:30:00,0.16666666666666666
2019-10-04 12:45:00,2019-10-04 14:30:00,1.8333333333333333
2019-10-04 14:40:00,2019-10-04 20:45:00,6.166666666666667
2019-10-04 20:55:00,2019-10-05 01:45:00,4.916666666666667
2019-10-05 01:55:00,2019-10-05 02:35:00,0.75
2019-10-05 02:45:00,2019-10-05 02:45:00,0.08333333333333333
2019-10-05 02:55:00,2019-10-05 04:10:00,1.3333333333333333
2019-10-05 04:20:00,2019-10-05 06:45:00,2.5
2019-10-05 06:55:00,2019-10-05 07:35:00,0.75
2019-10-05 07:45:00,2019-10-05 09:45:00,2.0833333333333335
2019-10-05 09:55:00,2019-10-08 18:30:00,80.66666666666667
2019-10-08 18:40:00,2019-10-13 14:25:00,115.83333333333333
2019-10-13 14:45:00,2019-10-13 19:30:00,4.833333333333333
2019-10-13 19:40:00,2019-10-13 22:45:00,3.1666666666666665
2019-10-13 22:55:00,2019-10-13 22:55:00,0.08333333333333333
2019-10-13 23:20:00,2019-10-13 23:25:00,0.16666666666666666
